,nmf__alpha,nmf__n_components,nmf__solver,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state
0.26749814077504735,2,7,cd,4,0.3,2,50,43
0.2658672009755537,2,7,cd,4,0.3,2,50,44
0.26344907992660793,2,7,cd,4,0.3,2,50,47
0.2637957273695491,2,7,cd,4,0.3,2,50,48
0.2678470962067976,2,7,cd,4,0.3,2,50,50
0.2676913033201665,2,7,cd,4,0.3,3,30,2
0.2609414328159461,2,7,cd,4,0.3,3,30,4
0.2604666340367914,2,7,cd,4,0.3,3,30,5
0.25679820345482707,2,7,cd,4,0.3,3,30,6
0.26483454752784547,2,7,cd,4,0.3,3,30,7
0.26757046693552894,2,7,cd,4,0.3,3,30,9
0.2658886987854537,2,7,cd,4,0.3,3,30,10
0.264831457055945,2,7,cd,4,0.3,3,30,12
0.26422669329890375,2,7,cd,4,0.3,3,30,15
0.2678823876364153,2,7,cd,4,0.3,3,30,16
0.25626270889796166,2,7,cd,4,0.3,3,30,17
0.26361461330965347,2,7,cd,4,0.3,3,30,20
0.26519978099764935,2,7,cd,4,0.3,3,30,22
0.26020011555286593,2,7,cd,4,0.3,3,30,24
0.2623596088035709,2,7,cd,4,0.3,3,30,26
0.26791418878528805,2,7,cd,4,0.3,3,30,27
0.26904374347499177,2,7,cd,4,0.3,3,30,30
0.26589314802103714,2,7,cd,4,0.3,3,30,33
0.2635792884050881,2,7,cd,4,0.3,3,30,34
0.26721600649302696,2,7,cd,4,0.3,3,30,35
0.2595840734521677,2,7,cd,4,0.3,3,30,36
0.26808352829841925,2,7,cd,4,0.3,3,30,37
0.26018774407782674,2,7,cd,4,0.3,3,30,39
0.26366092869326646,2,7,cd,4,0.3,3,30,41
0.2674901906936965,2,7,cd,4,0.3,3,30,42
0.26460900203639104,2,7,cd,4,0.3,3,30,48
0.2688919073943343,2,7,cd,4,0.3,3,30,49
0.26446539533513747,2,7,cd,4,0.3,3,30,50
0.26956584023810504,2,7,cd,4,0.3,3,50,1
0.2655889385772739,2,7,cd,4,0.3,3,50,2
0.26635477698493315,2,7,cd,4,0.3,3,50,3
0.263137109718152,2,7,cd,4,0.3,3,50,4
0.2608117749228388,2,7,cd,4,0.3,3,50,5
0.25906781084194325,2,7,cd,4,0.3,3,50,6
0.2570068354475469,2,7,cd,4,0.3,3,50,7
0.2666505497987457,2,7,cd,4,0.3,3,50,10
0.268325804590542,2,7,cd,4,0.3,3,50,12
0.26334137328959956,2,7,cd,4,0.3,3,50,13
0.26274414073470315,2,7,cd,4,0.3,3,50,14
0.264338863374119,2,7,cd,4,0.3,3,50,15
0.26627950299770875,2,7,cd,4,0.3,3,50,16
0.2561023764936585,2,7,cd,4,0.3,3,50,17
0.26733872594730146,2,7,cd,4,0.3,3,50,18
0.26100119004954625,2,7,cd,4,0.3,3,50,20
