,MAE,Model,Features
872,0.2504891721540988,RF,All_features
1373,0.2505097763123351,NMF->RF,All_features
470,0.25051335199129426,NMF->DT (MF),All_features
1357,0.2505241861619051,NMF->RF,All_features
2337,0.2505300081898809,NMF->RF,All_features
472,0.25053850142060763,NMF->DT (MF),All_features
2242,0.25054312331620004,NMF->RF,All_features
2432,0.25054896373812746,NMF->RF,All_features
3364,0.2505527459081641,NMF->RF,All_features
1190,0.25056231581610344,NMF->RF,All_features
2339,0.2505672183513196,NMF->RF,All_features
586,0.2505673172613786,RF,All_features
3497,0.25056995183132963,NMF->RF,All_features
29,0.25058808085619233,NMF->DT (MF),Theory_features
271,0.2505923362669493,NMF->DT (MF),All_features
3613,0.2506312950648034,NMF->RF,All_features
15,0.250632639714578,NMF->DT (MF),Theory_features
1902,0.2506384511305742,NMF->RF,All_features
3127,0.2506414025490097,NMF->RF,All_features
3035,0.25066217974378424,NMF->RF,All_features
1216,0.2506901412694917,NMF->RF,All_features
1700,0.2506998942140445,NMF->RF,All_features
2361,0.25070070668526784,NMF->RF,All_features
499,0.25071127757451833,RF,All_features
3186,0.2507118506775172,NMF->RF,All_features
453,0.2507246695647956,NMF->DT (MF),All_features
1917,0.2507248593430141,NMF->RF,All_features
519,0.250729284380016,RF,All_features
490,0.2507339568820367,NMF->DT (MF),All_features
3264,0.25074513910657803,NMF->RF,All_features
1039,0.25075232422909016,RF,All_features
3495,0.2507600381314721,NMF->RF,All_features
2345,0.2507648747696421,NMF->RF,All_features
3216,0.250767686559758,NMF->RF,All_features
509,0.2507790570717379,RF,All_features
1470,0.2507818659615789,NMF->RF,All_features
3213,0.2507819754624611,NMF->RF,All_features
2281,0.250784258097423,NMF->RF,All_features
3204,0.2508005219173743,NMF->RF,All_features
821,0.2508017862696296,RF,All_features
2341,0.2508157866536417,NMF->RF,All_features
2020,0.25082104268070465,NMF->RF,All_features
3339,0.2508239173594325,NMF->RF,All_features
1785,0.25082612659021314,NMF->RF,All_features
72,0.25083677909637664,NMF->DT (MF),Theory_features
3215,0.250843470235529,NMF->RF,All_features
3447,0.2508542928299187,NMF->RF,All_features
1623,0.2508630586300527,NMF->RF,All_features
1032,0.2508665703192975,NMF->RF,All_features
1423,0.2508671606114952,NMF->RF,All_features
1487,0.2508869153121151,NMF->RF,All_features
416,0.2508916329186234,RF,All_features
3769,0.25090650845004536,NMF->RF,All_features
1839,0.2509353075048445,NMF->RF,All_features
3042,0.25096055439313786,NMF->RF,All_features
3804,0.2509636858203137,NMF->RF,All_features
2143,0.25098546390739906,NMF->RF,All_features
2099,0.25101885229105264,NMF->RF,All_features
474,0.2510275124282642,RF,All_features
547,0.2510457974315401,RF,All_features
1648,0.2510514661897308,NMF->RF,All_features
208,0.2510576948882968,NMF->DT (MF),All_features
3491,0.2510595161709994,NMF->RF,All_features
1824,0.2510655126422791,NMF->RF,All_features
2437,0.2510689813900823,NMF->RF,All_features
2141,0.25107672271097903,NMF->RF,All_features
2076,0.25108413680743075,NMF->RF,All_features
2097,0.2510874058766129,NMF->RF,All_features
1624,0.2510999400871876,NMF->RF,All_features
1166,0.2510999402851659,NMF->RF,All_features
775,0.2511023732817665,RF,All_features
3814,0.2511025297469073,NMF->RF,All_features
141,0.25110267291500826,NMF->DT (MF),All_features
2424,0.2511377859222603,NMF->RF,All_features
3782,0.25114374151170865,NMF->RF,All_features
1020,0.2511450508759763,NMF->RF,All_features
3069,0.2511505365529267,NMF->RF,All_features
3304,0.251151976186108,NMF->RF,All_features
1065,0.2511533713682974,NMF->RF,All_features
3691,0.2511544052745575,NMF->RF,All_features
406,0.2511608900743277,RF,All_features
467,0.2511766146335342,RF,All_features
1394,0.25118094420164283,NMF->RF,All_features
3328,0.2511817212696095,NMF->RF,All_features
3806,0.25118395972634416,NMF->RF,All_features
2098,0.25119361664955503,NMF->RF,All_features
3351,0.25120622376131857,NMF->RF,All_features
3039,0.25121467875741804,NMF->RF,All_features
1251,0.2512180301688328,NMF->RF,All_features
775,0.2512246760254735,RF,Theory_features
1979,0.25123793557590035,NMF->RF,All_features
2458,0.2512499485890719,NMF->RF,All_features
3326,0.25125645661004364,NMF->RF,All_features
829,0.2512646608492776,RF,Theory_features
3095,0.2512747714099649,NMF->RF,All_features
1485,0.25127846078123844,NMF->RF,All_features
3479,0.251283260743167,NMF->RF,All_features
3690,0.2512837333203916,NMF->RF,All_features
1651,0.2512947515668805,NMF->RF,All_features
1021,0.2513063075116898,NMF->RF,All_features
3507,0.2513193222543689,NMF->RF,All_features
2348,0.2513212163313717,NMF->RF,All_features
249,0.2513229148801656,NMF->RF,All_features
3810,0.2513232290175215,NMF->RF,All_features
3593,0.25133052212057777,NMF->RF,All_features
1107,0.251331820254917,NMF->RF,All_features
3790,0.2513390687737501,NMF->RF,All_features
2431,0.25138126822496376,NMF->RF,All_features
3664,0.25138272177165444,NMF->RF,All_features
1541,0.2513877765479952,NMF->RF,All_features
2355,0.25139990991720457,NMF->RF,All_features
1639,0.2514040973400499,NMF->RF,All_features
1569,0.25141119747434193,NMF->RF,All_features
3432,0.25142660772556363,NMF->RF,All_features
651,0.2514288297765432,NMF->DT (MF),All_features
2129,0.2514404512921748,NMF->RF,All_features
3425,0.2514553408843117,NMF->RF,All_features
3547,0.2514681797053204,NMF->RF,All_features
941,0.25147087587836925,RF,Theory_features
2320,0.2514801905337429,NMF->RF,All_features
1896,0.2514983840235132,NMF->RF,All_features
43,0.25150012896009777,Lasso,Theory_features
827,0.2515118445835006,RF,All_features
1611,0.25151463583387496,NMF->RF,All_features
3239,0.25154959705675656,NMF->RF,All_features
1005,0.25155588333970824,NMF->RF,All_features
1778,0.25158141155927977,NMF->RF,All_features
2681,0.2515856115597649,NMF->RF,All_features
376,0.2515888977401227,NMF->RF,All_features
1370,0.2515924224953916,NMF->RF,All_features
2189,0.25159609626137597,NMF->RF,All_features
512,0.25160007561480024,RF,All_features
3093,0.25161217125445706,NMF->RF,All_features
2469,0.2516122227842198,NMF->RF,All_features
332,0.2516139751429849,NMF->RF,All_features
3279,0.25161628644200984,NMF->RF,All_features
3642,0.2516167697467745,NMF->RF,All_features
519,0.2516305900997277,NMF->DT (MF),All_features
1632,0.2516387147331612,NMF->RF,All_features
1239,0.25164284303596274,NMF->RF,All_features
1736,0.2516592293380025,NMF->RF,All_features
2346,0.25166570994878634,NMF->RF,All_features
3595,0.25168202053810645,NMF->RF,All_features
3340,0.25168492858089514,NMF->RF,All_features
3661,0.25169161419108466,NMF->RF,All_features
3198,0.2516934798470709,NMF->RF,All_features
2951,0.2516955155243747,NMF->RF,All_features
3255,0.2516998124646962,NMF->RF,All_features
1249,0.2517109077643677,NMF->RF,All_features
296,0.2517188573515638,NMF->DT (MF),All_features
