MAE,Model,Features,nmf__alpha,nmf__n_components,nmf__solver,dt__max_depth,dt__min_samples_split,dt__random_state,dt__max_features,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state,alpha,random_state,tol,max_depth,max_features,min_samples_split,n_estimators
0.2581027915358509,NMF->RF,Theory_features,2.0,7.0,cd,,,,,5.0,0.3,3.0,30.0,5.0,,,,,,,
0.2581056572764066,RF,All_features,,,,,,,,,,,,,,6.0,,5.0,0.3,2.0,60.0
0.2581065098708536,RF,All_features,,,,,,,,,,,,,,20.0,,3.0,0.5,2.0,50.0
0.2581125476349884,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.5,2.0,50.0,35.0,,,,,,,
0.2581161797774432,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,50.0,37.0,,,,,,,
0.2581162738728099,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,50.0,30.0,,,,,,,
0.2581198709060917,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,3.0,50.0,24.0,,,,,,,
0.25812599169329736,NMF->RF,Theory_features,1.0,6.0,cd,,,,,5.0,0.3,2.0,30.0,33.0,,,,,,,
0.2581275410310637,NMF->RF,All_features,2.0,6.0,cd,,,,,4.0,0.5,2.0,50.0,18.0,,,,,,,
0.25812770324180145,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,2.0,30.0,16.0,,,,,,,
0.25813452709524354,RF,All_features,,,,,,,,,,,,,,20.0,,3.0,0.3,3.0,60.0
0.2581366387610148,NMF->RF,All_features,1.0,5.0,cd,,,,,5.0,0.5,2.0,30.0,49.0,,,,,,,
0.25813829431073904,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,2.0,30.0,15.0,,,,,,,
0.2581393320953018,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,30.0,22.0,,,,,,,
0.2581409149060155,NMF->DT (MF),All_features,1.0,6.0,cd,3.0,4.0,3.0,0.7,,,,,,,,,,,,
0.2581482580024878,NMF->RF,Theory_features,2.0,7.0,cd,,,,,4.0,0.5,2.0,30.0,32.0,,,,,,,
0.2581484205175012,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,28.0,,,,,,,
0.2581484370223369,NMF->DT (MF),All_features,1.0,6.0,cd,5.0,3.0,16.0,0.5,,,,,,,,,,,,
0.2581484670181755,NMF->RF,All_features,2.0,6.0,cd,,,,,4.0,0.5,3.0,30.0,16.0,,,,,,,
0.25815040617511925,NMF->DT (MF),All_features,1.0,5.0,cd,4.0,2.0,19.0,0.5,,,,,,,,,,,,
0.2581523556196958,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.5,2.0,30.0,26.0,,,,,,,
0.2581540757893967,RF,All_features,,,,,,,,,,,,,,38.0,,3.0,0.3,2.0,60.0
